k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,D,D_coe,Element,gen_coe
23,19,1,3,,,,,,,,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
23,21,0,9,,,,,,,,,,20,1 0 0 0 0 0 0 0 0 0 0 0
23,21,1,3,,,,,,,,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
23,23,0,9,,,,,,,,,,20,1 0 0 0 0 0 0 0 0 0 0 0
23,23,1,3,,,,,,,,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
23,25,0,9,,,,,,,,,,20,1 0 0 0 0 0 0 0 0 0 0 0
23,25,1,3,,,,,,,,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
24,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
24,3,0,3,,,,"E^{2}\xi(AB,B^{2})=P(AB)\ne0",1 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]p48, \ H(\xi(AB,B^{2}))=B^{2}",,,,21,1 0 0 0 0 0 0 0 0 0 0 0
24,5,0,3,,,,"P(AB)=E^{2}\xi(AB,B^{2})",0 0 0 0 0 0 0 0 0 0 0 0,,,,,21,1 0 0 0 0 0 0 0 0 0 0 0
24,7,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]p48, \ HP(Q^{4}(\beta_{1}))=ab",,,,22,1 0 0 0 0 0 0 0 0 0 0 0
24,9,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
24,11,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
24,13,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
24,15,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
24,17,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
24,19,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
24,21,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
24,23,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
24,25,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
24,27,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,3,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,5,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,7,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,9,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,11,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,13,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,15,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,17,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,19,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,21,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,23,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,25,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
25,27,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
26,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
